id,product_id,quantity,reserved_quantity,location,min_stock_level,last_updated,created_at,updated_at
01c854d6-b92f-4895-b9af-69e4e3749088,73c066b6-87d8-47a2-a49e-b0357ed8f562,0,0,온라인,0,2025-10-08 15:13:00.809067+00,2025-10-08 15:13:00.809067+00,2025-10-08 15:13:00.809067+00
528890cd-7707-4241-bbb4-82e018673790,b54a0100-fe33-427d-bbb9-99febeeb7425,0,0,온라인,0,2025-10-08 15:13:00.806067+00,2025-10-08 15:13:00.806067+00,2025-10-08 15:13:00.806067+00
3a9f7b95-2746-4522-8821-32386641c5cf,e5650972-f1a3-41bc-b105-04e0a5ad8320,0,0,온라인,0,2025-10-08 15:13:00.803067+00,2025-10-08 15:13:00.803067+00,2025-10-08 15:13:00.803067+00
8c2ff4c7-1bc2-48a3-bf5d-da344226e7fa,8a874e17-f44f-4711-91c7-3c908a32e5f9,0,0,온라인,0,2025-10-08 15:13:00.799555+00,2025-10-08 15:13:00.799555+00,2025-10-08 15:13:00.799555+00
747f27cf-a872-4800-83b4-2327a2984117,31834572-e869-40d6-96da-f9e09eda2bbe,0,0,온라인,0,2025-10-08 15:13:00.795557+00,2025-10-08 15:13:00.795557+00,2025-10-08 15:13:00.795557+00
af631225-309c-4d6a-b5c7-098565b08572,a647f0ee-d5d0-4834-9d77-9a229eb6edbb,0,0,온라인,0,2025-10-08 15:13:00.792558+00,2025-10-08 15:13:00.792558+00,2025-10-08 15:13:00.792558+00
0c996e22-b7c8-4a5d-825a-726a30012fac,83d83102-de5b-4fce-87a8-520e0efe3e6d,0,0,온라인,0,2025-10-08 15:13:00.789039+00,2025-10-08 15:13:00.789039+00,2025-10-08 15:13:00.789039+00
7d55d368-8919-4f75-9ff1-1f2ad80cef22,bee57364-2efc-4237-aa59-34f0f4b13777,0,0,온라인,0,2025-10-08 15:13:00.786038+00,2025-10-08 15:13:00.786038+00,2025-10-08 15:13:00.786038+00
7e4644b3-5567-4448-91aa-883e000c6a10,24779e36-c36a-47c7-a5eb-905bacb89ca6,0,0,온라인,0,2025-10-08 15:13:00.782031+00,2025-10-08 15:13:00.782031+00,2025-10-08 15:13:00.782031+00
a1b720c7-8acd-4aed-bac2-9d63468fcb36,de635467-706f-40a3-86a1-80187ea9279d,0,0,온라인,0,2025-10-08 15:13:00.779113+00,2025-10-08 15:13:00.779113+00,2025-10-08 15:13:00.779113+00
c22f36e8-5c2e-4b92-a450-db0f8fee3e3f,a2a96674-b899-465e-a05f-658806ac4476,0,0,온라인,0,2025-10-08 15:13:00.775113+00,2025-10-08 15:13:00.775113+00,2025-10-08 15:13:00.775113+00
13402e32-cfde-42de-bafc-d0e1f8c88f68,68967757-2a0a-45f3-b13a-fa880ebaa66b,0,0,온라인,0,2025-10-08 15:13:00.769937+00,2025-10-08 15:13:00.769937+00,2025-10-08 15:13:00.769937+00
ea886325-a4c1-40a5-9a9f-91d8b0a96e27,5624f1ee-5290-474d-8578-5268883f617c,0,0,온라인,0,2025-10-08 15:13:00.765939+00,2025-10-08 15:13:00.765939+00,2025-10-08 15:13:00.765939+00
1509fb02-7aa7-4189-a583-361c16cef86d,2307b5c0-5c42-4abb-aa5f-f7adb9f5c4dd,0,0,온라인,0,2025-10-08 15:13:00.761937+00,2025-10-08 15:13:00.761937+00,2025-10-08 15:13:00.761937+00
0b5abe59-19fb-4638-a5cb-1a87d1dab6e8,46eb8736-116e-42af-8e15-3774d92c0fea,0,0,온라인,0,2025-10-08 15:13:00.757694+00,2025-10-08 15:13:00.757694+00,2025-10-08 15:13:00.757694+00
4a8eb9fe-3a39-4c8b-ac58-04b0f0ad233e,a661f8e5-d7af-4c74-849a-fb9592095889,0,0,온라인,0,2025-10-08 15:13:00.75369+00,2025-10-08 15:13:00.75369+00,2025-10-08 15:13:00.75369+00
